name,min_price,prices,sizes,inches,Art,Print,Wall,art,Decor,print,Gift,Printable,Poster,Abstract,wall,decor,Watercolor,of,Nursery,Digital,Prints,Large,Modern,Download
"Natural Wall Art, Set of Two Wall Art, Beige and Black Abstract, Brown Beige Gray Abstract Art, Earthy Wall Abstract Art Set, Large Wall Art",142.2,"['196.20', '160.20', '142.20']","[('24', '36'), ('18', '24')]",1.0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Thanksgiving decor pumpkins... thankful grateful blessed ...nice present....cute handmade clay hostess fall holiday gift,32.0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Station print,30.0,"['30.00', '60.00', '75.00']",,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louisiana map art, Louisiana art print, signed print of my original hand drawn Louisiana map art",22.5,"['22.50', '31.50', '40.50', '49.50', '72.00']","[('11', '14'), ('13', '19'), ('16', '20'), ('18', '24'), ('24', '30')]",1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Solar System Printable, Watercolour Solar System, Watercolor Painting, Planets, Instant Download, Planet Print, Galaxy Printable Wall Art",7.05,,,,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Baby portrait. Custom Pastel Portrait Painting of baby from photography,600.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Woodland Art Alphabet Woodland Baby Shower Gift Forest Animals Wall Art Nursery Art Print,27.0,"['27.00', '36.00', '39.00', '41.00']","[('8', '10'), ('8', '10'), ('11', '14'), ('11', '14'), ('13', '19')]",1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Northern Lights Arctic Fox Art Print Watercolor Illustration Kids Room Wall Art Winter Decor,18.0,"['18.00', '25.00', '27.00', '36.00', '39.00', '48.00']","[('5', '7'), ('5', '7'), ('8', '10'), ('8', '10'), ('8', '10'), ('11', '14'), ('11', '14'), ('16', '20')]",1.0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Personalised Bear Family Print / 'selfie' / monochrome / nursery print / family portrait / Original bear family print /new baby/Mother's Day,15.96,"['15.96 - $23.95', '15.96 - $23.95', '15.96 - $23.95', '15.96 - $23.95', '15.96 - $23.95', '15.96 - $23.95', '15.96 - $23.95', '21.02 - $28.73', '21.02 - $28.73', '21.02 - $28.73', '21.02 - $28.73', '21.02 - $28.73', '21.02 - $28.73', '21.02 - $28.73', '15.96 - $23.95', '21.02 - $28.73', '15.96 - $23.95', '21.02 - $28.73']",,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursery Art Print. Pastel Watercolor Butterfly. Modern Nature Art. Girls Room Art. Mint & Pink Sophisticated Unique Modern Nursery Wall Art.,18.0,"['18.00', '28.00', '54.00', '54.00', '84.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('12', '12'), ('16', '20')]",1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
